Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time (minutes),Genre,Rank,combined_text,cleaned_text,cluster
Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,4.9,313.0,10080.0,"over the past three years, jay shetty has become one of the world’s most popular influencers. one of his clips was the most watched video on facebook last year, with more than 360 million views. his social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, on purpose, is consistently ranked the world’s number one health-related podcast.  ",654.0,Personal Success,1,"Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now Over the past three years, Jay Shetty has become one of the world’s most popular influencers. One of his clips was the most watched video on Facebook last year, with more than 360 million views. His social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, On Purpose, is consistently ranked the world’s number one health-related podcast.  ",think like monk secret harness power positivity happy past three year jay shetty become one world popular influencers one clip watched video facebook last year million view social medium following total million produced viral video amassed five billion view podcast purpose consistently ranked world number one healthrelated podcast,3
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6,3658.0,615.0,brought to you by penguin.,203.0,Meditation,1,Ikigai: The Japanese Secret to a Long and Happy Life Brought to you by Penguin.,ikigai japanese secret long happy life brought penguin,0
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,15838.799999999928,10378.0,"in this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people. ",317.0,Personal Success,3,"The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people. ",subtle art giving fck counterintuitive approach living good life generationdefining selfhelp guide superstar blogger cut crap show u stop trying positive time truly become better happier people,3
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,4.6,4614.0,888.0,brought to you by penguin.,335.0,Psychology,1,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones Brought to you by Penguin.,atomic habit easy proven way build good habit break bad one brought penguin,0
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6,4302.0,1005.0,"stop going through life,  start growing through life!",385.0,Literary Essays,1,"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life Stop going through life,  Start growing through life!",life amazing secret find balance purpose life stop going life start growing life,3
Extraordinary Leadership,Robin Sharma,4.1,179.0,690.0,"
by completing your purchase you agree to audible’s  conditions of use, amazon's privacy notice and if applicable audible's recurring payment terms.
",66.0,Leadership,1,"Extraordinary Leadership 
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",extraordinary leadership completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,0
Sapiens,Yuval Noah Harari,4.6,15838.799999999928,1093.0,fire gave us power. farming made us hungry for more. money gave us purpose. science made us deadly. ,918.0,Anthropology,1,Sapiens Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. ,sapiens fire gave u power farming made u hungry money gave u purpose science made u deadly,3
The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,9253.0,11862.0,the classic text annotated to update graham's timeless wisdom for today's market conditions ,1068.0,Personal Finance,1,The Intelligent Investor Rev Ed. The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions ,intelligent investor rev ed classic text annotated update graham timeless wisdom today market condition,3
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,15838.799999999928,837.0,rich dad poor dad will…. ,369.0,Personal Finance,2,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not! Rich Dad Poor Dad will…. ,rich dad poor dad rich teach kid money poor middle class rich dad poor dad,3
The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,5082.0,8735.0,"legendary leadership and elite performance expert robin sharma introduced the 5am club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",664.0,Sleep Disorders,1,"The 5AM Club: Own Your Morning. Elevate Your Life. Legendary leadership and elite performance expert Robin Sharma introduced The 5AM Club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",club morning elevate life legendary leadership elite performance expert robin sharma introduced club concept year ago based revolutionary morning routine helped client maximise productivity activate best health bulletproof serenity age overwhelming complexity,3
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,3.6,43.0,690.0,"utv founder and pioneer of the media industry ronnie screwvala is one of india’s most successful first-generation entrepreneurs. an avid philanthropist, he has penned dream with your eyes open: an entrepreneurial journey as one of the most inspiring entrepreneurial self-help books. pictured relaxed and content on the cover page of the book, screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.  ",439.0,Entrepreneurship,1,"Dream With Your Eyes Open: An Entrepreneurial Journey UTV founder and pioneer of the media industry Ronnie Screwvala is one of India’s most successful first-generation entrepreneurs. An avid philanthropist, he has penned Dream with Your Eyes Open: An Entrepreneurial Journey as one of the most inspiring entrepreneurial self-help books. Pictured relaxed and content on the cover page of the book, Screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.  ",dream eye open entrepreneurial journey utv founder pioneer medium industry ronnie screwvala one india successful firstgeneration entrepreneur avid philanthropist penned dream eye open entrepreneurial journey one inspiring entrepreneurial selfhelp book pictured relaxed content cover page book screwvala provides relentless pursuit entrepreneurial glory describes others learn,3
Influence: The Psychology of Persuasion,Robert B. Cialdini,4.4,3766.0,11862.0,"influence, the classic book on persuasion, explains the psychology of why people say yes - and how to apply these understandings. ",606.0,Consumer Behaviour,1,"Influence: The Psychology of Persuasion Influence, the classic book on persuasion, explains the psychology of why people say yes - and how to apply these understandings. ",influence psychology persuasion influence classic book persuasion explains psychology people say yes apply understanding,3
The Sandman,Neil Gaiman,5.0,1.0,1171.0,"please note: this content is not for kids. it is for mature audiences only. just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. discretion is advised. ",654.0,Epic Fantasy,1,"The Sandman Please note: This content is not for kids. It is for mature audiences only. Just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. Discretion is advised. ",sandman please note content kid mature audience like original graphic novel audio adaptation contains explicit language graphic violence well strong sexual content theme discretion advised,3
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,15838.799999999928,10378.0,"
by completing your purchase you agree to audible’s  conditions of use, amazon's privacy notice and if applicable audible's recurring payment terms.
",240.0,Metaphysical & Visionary Fiction,1,"The Alchemist: A Fable About Following Your Dream 
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",alchemist fable following dream completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,0
How to Win Friends and Influence People,Dale Carnegie,4.5,15838.799999999928,668.0,"how to win friends and influence people is a self-help book which is the pioneer of this genre. written by dale carnegie and published in 1936, it has sold over 30 million copies. it has been edited and re-printed several times. ",485.0,Communication & Social Skills,1,"How to Win Friends and Influence People How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times. ",win friend influence people win friend influence people selfhelp book pioneer genre written dale carnegie published sold million copy edited reprinted several time,3
"Thinking, Fast and Slow",Daniel Kahneman,4.4,9774.0,1093.0,brought to you by penguin.,1201.0,Business Decision Making & Problem Solving,1,"Thinking, Fast and Slow Brought to you by Penguin.",thinking fast slow brought penguin,0
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,5.0,6.0,3037.0,"now updated to include chapter name information, so you can easily find your favourite story or novel",4317.0,Private Investigator Mysteries,1,"Sherlock Holmes: The Definitive Collection Now updated to include Chapter Name Information, so you can easily find your favourite story or novel",sherlock holmes definitive collection updated include chapter name information easily find favourite story novel,3
Becoming,Michelle Obama,4.6,13848.0,1093.0,penguin presents the audiobook edition of becoming by michelle obama.,1143.0,Women Biographies,1,Becoming Penguin presents the audiobook edition of Becoming by Michelle Obama.,becoming penguin present audiobook edition becoming michelle obama,0
Just Do It: The Nike Spirit in the Corporate World,Donald Katz,4.0,37.0,690.0,"the protagonist of just do it is phil knight, a reclusive billionaire who started a two-man operation importing japanese running shoes and built it into a $4 billion company. irreverent, unpredictable, and leery of the sports establishment, knight created the most muscular jock culture in business, a place where employees routinely took two hours at lunch to work out and then strategized late into the night in their holy war against competitors reebok and adidas. to outsiders, nike was a cult. insiders believed they were furthering the company's mission: to improve the performance of serious athletes. ",840.0,Popular Culture Studies,1,"Just Do It: The Nike Spirit in the Corporate World The protagonist of Just Do It is Phil Knight, a reclusive billionaire who started a two-man operation importing Japanese running shoes and built it into a $4 billion company. Irreverent, unpredictable, and leery of the sports establishment, Knight created the most muscular jock culture in business, a place where employees routinely took two hours at lunch to work out and then strategized late into the night in their holy war against competitors Reebok and Adidas. To outsiders, Nike was a cult. Insiders believed they were furthering the company's mission: to improve the performance of serious athletes. ",nike spirit corporate world protagonist phil knight reclusive billionaire started twoman operation importing japanese running shoe built billion company irreverent unpredictable leery sport establishment knight created muscular jock culture business place employee routinely took two hour lunch work strategized late night holy war competitor reebok adidas outsider nike cult insider believed furthering company mission improve performance serious athlete,3
The Warren Buffett Way: 3rd Edition,Robert Hagstrom,4.2,72.0,1005.0,"warren buffett remains one of the most sought-after and watched figures in business today. he has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in berkshire hathaway. the first two editions of the warren buffett way gave investors their first in-depth look at the innovative investment and business strategies behind the spectacular success of living legend warren e. buffett. tracing warren buffett's career from the beginning, hagstrom told listeners exactly how, starting with an initial investment of only $100 buffett built a business empire and has an estimated net worth of $44 billion. the third edition of the warren buffett way will focus on the timeless principles and strategies behind buffett's extraordinary investment success. there will be new chapters on the important distinctions between investment and trading and an examination of the most successful disciples of warren buffett. some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time, distilling buffett's success formula in a way that will provide value to listeners for decades to come.",631.0,Business Careers,1,"The Warren Buffett Way: 3rd Edition Warren Buffett remains one of the most sought-after and watched figures in business today. He has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in Berkshire Hathaway. The first two editions of The Warren Buffett Way gave investors their first in-depth look at the innovative investment and business strategies behind the spectacular success of living legend Warren E. Buffett. Tracing Warren Buffett's career from the beginning, Hagstrom told listeners exactly how, starting with an initial investment of only $100 Buffett built a business empire and has an estimated net worth of $44 billion. The Third Edition of The Warren Buffett Way will focus on the timeless principles and strategies behind Buffett's extraordinary investment success. There will be new chapters on the important distinctions between investment and trading and an examination of the most successful disciples of Warren Buffett. Some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time, distilling Buffett's success formula in a way that will provide value to listeners for decades to come.",warren buffett way rd edition warren buffett remains one soughtafter watched figure business today become billionaire investment sage buying chunk company holding onto managing business eventually reaping huge profit investor berkshire hathaway first two edition warren buffett way gave investor first indepth look innovative investment business strategy behind spectacular success living legend warren e buffett tracing warren buffetts career beginning hagstrom told listener exactly starting initial investment buffett built business empire estimated net worth billion third edition warren buffett way focus timeless principle strategy behind buffetts extraordinary investment success new chapter important distinction investment trading examination successful disciple warren buffett less important material deleted overall focus create edition stand test time distilling buffetts success formula way provide value listener decade come,3
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2810.0,1093.0,brought to you by penguin.,701.0,Political Science History & Theory,1,21 Lessons for the 21st Century Brought to you by Penguin.,lesson st century brought penguin,0
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,4.6,949.0,10378.0,secrets of the millionaire mind reveals the missing link between wanting success and achieving it! ,310.0,Entrepreneurship,1,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth Secrets of the Millionaire Mind reveals the missing link between wanting success and achieving it! ,secret millionaire mind mastering inner game wealth secret millionaire mind reveals missing link wanting success achieving,3
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,4.4,419.0,668.0,"we work hard to earn our money. but regardless of how much we earn, the money worry never goes away. bills, rent, emis, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being under-prepared for our own retirement. ",356.0,Personal Finance,4,"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You We work hard to earn our money. But regardless of how much we earn, the money worry never goes away. Bills, rent, EMIs, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being under-prepared for our own retirement. ",let talk money youve worked hard make work work hard earn money regardless much earn money worry never go away bill rent emis medical cost vacation kid education somewhere back head niggling thought underprepared retirement,3
Elon Musk,Ashlee Vance,4.5,6456.0,888.0,brought to you by penguin.,803.0,Biographies of Science & Technology Leaders,1,Elon Musk Brought to you by Penguin.,elon musk brought penguin,0
The Monk Who Sold His Ferrari,Robin Sharma,4.6,7573.0,351.0,"author robin sharma reads this international best-seller, allowing you to gain the wisdom and lessons from the original book while you commute. this abridged audiobook is one of sharma leadership international's all-time best-selling audio products.",160.0,Christianity,1,"The Monk Who Sold His Ferrari Author Robin Sharma reads this international best-seller, allowing you to gain the wisdom and lessons from the original book while you commute. This abridged audiobook is one of Sharma Leadership International's all-time best-selling audio products.",monk sold ferrari author robin sharma read international bestseller allowing gain wisdom lesson original book commute abridged audiobook one sharma leadership international alltime bestselling audio product,3
